,title,year,certificate,time,genre,rating,metascore,simple_desc,votes
14,"30.
Blonde
(2022)",(2022),R21,167 min,"Biography, Drama, Romance",5.5,50,"The story of American actress Marilyn Monroe, covering her love and professional lives.","Votes:
65,847"
15,"31.
Ford v Ferrari
(2019)",(2019),PG13,152 min,"Action, Biography, Drama",8.1,81,American car designer Carroll Shelby and driver Ken Miles battle corporate interference and the laws of physics to build a revolutionary race car for Ford in order to defeat Ferrari at the 24 Hours of Le Mans in 1966.,"Votes:
417,005
| Gross:
$117.62M"
16,"33.
The Greatest Showman
(2017)",(2017),PG,105 min,"Biography, Drama, Musical",7.5,48,Celebrates the birth of show business and tells of a visionary who rose from nothing to create a spectacle that became a worldwide sensation.,"Votes:
292,383
| Gross:
$174.34M"
17,"34.
The Young Victoria
(2009)",(2009),PG,105 min,"Biography, Drama, History",7.2,64,"A dramatization of the turbulent first years of Queen Victoria's rule, and her enduring romance with Prince Albert.","Votes:
63,939
| Gross:
$11.00M"
18,"35.
Girl, Interrupted
(1999)",(1999),PG,127 min,"Biography, Drama",7.3,51,Based on writer Susanna Kaysen's account of her 18-month stay at a mental hospital in the late 1960s.,"Votes:
197,191
| Gross:
$28.87M"
19,"36.
Spartacus
(1960)",(1960),PG,197 min,"Adventure, Biography, Drama",7.9,87,"The slave Spartacus survives brutal training as a gladiator and leads a violent revolt against the decadent Roman Republic, as the ambitious Crassus seeks to gain power by crushing the uprising.","Votes:
138,414
| Gross:
$30.00M"
20,"38.
The Irishman
(2019)",(2019),M18,209 min,"Biography, Crime, Drama",7.8,94,"An illustration of Frank Sheeran's life, from W.W.II veteran to hit-man for the Bufalino crime family and his alleged assassination of his close friend Jimmy Hoffa.","Votes:
402,888
| Gross:
$7.00M"
21,"41.
Catch Me If You Can
(2002)",(2002),PG,141 min,"Biography, Crime, Drama",8.1,75,"Barely 21 yet, Frank is a skilled forger who has passed as a doctor, lawyer and pilot. FBI agent Carl becomes obsessed with tracking down the con man, who only revels in the pursuit.","Votes:
1,019,087
| Gross:
$164.62M"
22,"42.
A Beautiful Mind
(2001)",(2001),PG,135 min,"Biography, Drama",8.2,72,"After John Nash, a brilliant but asocial mathematician, accepts secret work in cryptography, his life takes a turn for the nightmarish.","Votes:
949,333
| Gross:
$170.74M"
23,"43.
Braveheart
(1995)",(1995),M18,178 min,"Biography, Drama, History",8.4,68,Scottish warrior William Wallace leads his countrymen in a rebellion to free his homeland from the tyranny of King Edward I of England.,"Votes:
1,054,697
| Gross:
$75.60M"
24,"44.
Big George Foreman: The Miraculous Story of the Once and Future Heavyweight Champion of the World
(2023)",(2023),PG13,129 min,"Biography, Drama, Sport",6.5,45,The life and boxing career of George Foreman.,"Votes:
1,427"
25,"45.
The Pianist
(2002)",(2002),PG,150 min,"Biography, Drama, Music",8.5,85,A Polish Jewish musician struggles to survive the destruction of the Warsaw ghetto of World War II.,"Votes:
854,605
| Gross:
$32.57M"
26,"46.
Green Book
(2018)",(2018),PG13,130 min,"Biography, Comedy, Drama",8.2,69,A working-class Italian-American bouncer becomes the driver for an African-American classical pianist on a tour of venues through the 1960s American South.,"Votes:
517,751
| Gross:
$85.08M"
